order_id,invoice_id,order_date,ship_date,delivery_date,region,channel,customer_type,customer_id,sales_rep,product_name,product_category,quantity,unit_price,discount_pct,tax_pct,sales_amount,cogs,profit,currency,payment_method,status,notes
MD-2409-00008,INV-969634,27-Sep-24,2024-10-17,2024-11-14,Midwest,Online,Retail Pharmacy,ACCT-3442,N. Ahmed,Thermometer Probe,Accessory,116,4360.27,0,0.000,505791.32,"314,977.66",190813.66,USD,Credit Card,Refunded,
MD-2602-00175,INV-879243,2026-02-25,29-Mar-26,05-01-2026,Midwest,Referral,Lab,ACCT-1602,L. Brown,,Accessory,60,1785.86,0.1,0.08,"109,937.54",38920.77,71016.77,USD,Bank Transfer,Partially Paid,
MD-2508-00074,INV-794178,08-08-2025,"Aug 31, 2025",2025/10/01,West,Referral,Clinic,ACCT-9013,L. Brown,Ultrasound Gel,Consumable,7,1739.650,0.20,0.00,"$9,742.04",4643.6,5098.44,usd,ACH,Partial_y Paid,
MD-2401-00005,INV-392004,01-08-2024,2023/12/31,12/31/2023,Southwest,Channel Partner,Imaging Center,ACCT-2588,T. Garcia,Portable Defibrillator,Capital Equipment,9,4347.15,0.15,$0.00,"33,255.70",18991.9,"14,263.80",eur,Credit Card,Partially Paid,
MD-2407-00150,INV-793193,"Jul 02, 2024",2024/07/14,2024/08/05,West,Channel Partner,,ACCT-8051,M. Rivera,Sterile Drapes,ConsuMable,20.0,1461.58,0.5,$0.00,14615.8,9893.05,4722.75,EUR,Bank Transfer,Refunded,
MD-2406-00273,INV-446057,06-22-2024,07-03-2024,2024-07-21,Southeast,Distributor,Imaging Center,ACCT-5225,P. Singh,Sterile Drapes,Consum-ble,19,4383.32,0.2,0.05,65585.43,30414.47,"35,170.95",USD,Net 30,Pe-ding,
MD-2504-00279,INV-701975,04/28/2025,"Apr 24, 2025",2025-04-24,Southeast,Referral,Government,ACCT-2114,K. Johnson,Sterile Drapes,Consumable,100.0,3518.970,0.00,0.05,369491.85,223031.78,146460.07,php,ACH,,
MD-2502-00253,INV-329583,25-Feb-25,03-10-2025,2025-03-31,Central,Distributor,Clinic,ACCT-6401,,Specimen Container,Consumable,52,1260.23,0.0,0.07,70119.2,39180.316,"30,938.88",gbp,Wire,Overdue,
MD-2601-00221,INV-219125,01-21-2026,2026/02/25,07-Apr-26,Southwest,Distributor,Cl_nic,ACCT-3721,P. Singh,Syringe Pump,,20,,0,0.1,92976.12,67096.18,25879.94,EUR,Invoice,Overdue,
MD-2402-00263,INV-496267,02-02-2024,"Jan 28, 2024",2024-02-01,Midwest,Direct,University,ACCT-6865,L. Brown,Infusion Set,Consumable,61,681.44,0.500,0.07,22238.79,11343.6,10895.2,USD,Bank Transfer,Partially Paid,
MD-2406-00156,INV-575279,06-13-2024,2024-07-15,2024-08-21,East,Dist-ibutor,Clinic,ACCT-3131,P. Singh,Aspirator Unit,Equipment,9,1696.69,0.5,0.09,8322.264,"5,553.01",2769.25,GBP,Credit Card,Charged Back,
MD-2602-00037,INV-347459,02-06-2026,09-Mar-26,12-Apr-26,,Distributor,University,ACCT-3255,N. Ahmed,Syringe Pump,Cap_tal Equipment,19,"$4,075.43",0.25,0.0,-58074.88,23478.45,34596.43,USD,In_oice,Charged Back,
MD-2410-00101,INV-329183,"Oct 21, 2024",14-Oct-24,10/14/2024,West,Referral,Lab,ACCT-6833,J. Patel,Sterile Dra_es,Consumable,10,2667.2,0,0.1,28805.65,13969.74,14835.91,GBP,Bank Transfer,Partially Paid,
